"Distribution","SoC_Cost_Mean","Exp_Cost_Mean","SoC_QALY_Mean","Exp_QALY_Mean","Inc_Cost_Mean","Inc_QALY_Mean","ICER_PSA","Inc_NMB_Mean","Inc_Cost_Lower_CrI","Inc_Cost_Upper_CrI","Inc_QALY_Lower_CrI","Inc_QALY_Upper_CrI","Inc_NMB_Lower_CrI","Inc_NMB_Upper_CrI"
"Weibull",19859.433580725,50705.9642593969,0.609497612721206,0.780414391426901,30846.5306786719,0.170916778705695,180476.901754551,-23155.2756369157,22086.0641293334,40747.3691603906,0.0663535665361287,0.289416606130388,-30495.8901335704,-16773.4816462208
"Gamma",19668.225390391,50594.3238577296,0.603510711869551,0.778380492764903,30926.0984673386,0.174869780895352,176852.159984382,-23056.9583270477,21288.1861906348,42596.5630539391,0.060668729899818,0.313194837826089,-31070.7485835564,-16625.1993574464
