"Distribution","SoC_Cost_Mean","Exp_Cost_Mean","SoC_QALY_Mean","Exp_QALY_Mean","Inc_Cost_Mean","Inc_QALY_Mean","ICER_PSA","Inc_NMB_Mean","Inc_Cost_Lower_CrI","Inc_Cost_Upper_CrI","Inc_QALY_Lower_CrI","Inc_QALY_Upper_CrI","Inc_NMB_Lower_CrI","Inc_NMB_Upper_CrI"
"Weibull",15659.5099400062,50470.0989256047,0.612574658455592,0.78546366141059,34810.5889855985,0.172889002954998,201346.461548277,-29623.9188969485,26141.2532911379,44847.7542105398,0.0669259957370945,0.291819666901738,-37663.309407233,-22773.4719227855
"Gamma",15504.9141586899,50373.3804563575,0.606518867544932,0.783492357813814,34868.4662976676,0.176973490268882,197026.493881602,-29559.2615896011,25094.9395060709,46814.8339626875,0.061345649977251,0.317059409856074,-38689.579159133,-22205.3397774094
