"country","utility_scenario","u_PFS","u_PD","cost_SoC","cost_Exp","qaly_SoC","qaly_Exp","inc_cost","inc_qaly","icer","nmb","n_wtp"
"Ireland","ramsey_basecase",0.85,0.65,19762.6017348148,50575.1514502925,0.60659098545333,0.77765904126847,30812.5497154777,0.17106805581514,180118.664286303,-23114.4872037964,45000
"Germany","ramsey_basecase",0.85,0.65,64365.0051100733,106043.393762466,0.609657683691775,0.782691402763173,41678.3886523926,0.173033719071398,240868.594144909,-28031.0461955124,78871
"Spain","ramsey_basecase",0.85,0.65,15596.5489217985,50370.8329156432,0.609657683691775,0.782691402763173,34774.2839938447,0.173033719071398,200968.25162439,-29583.2724217028,30000
