"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
72,0.0267639001187517,156070.140930431,183974.996770982,1.14525810006956,1.21307396286782,27904.8558405506,0.0678158627982639,411479.773155153,-22556.1509257887
73,0.0262955136398776,130965.282274725,173746.966440004,1.12386049736301,1.3089848765099,42781.6841652789,0.185124379146898,231096.975786918,-28180.7392575839
74,0.0265060409911767,132668.355076468,172305.759333343,1.27244425452546,1.46773851293849,39637.4042568747,0.19529425841303,202962.465865459,-24234.3508015806
75,0.0270696033319875,127695.210930772,163860.574678466,0.994360302864577,1.12798691205589,36165.363747694,0.133626609191308,270644.925936251,-25626.0994541664
76,0.0259587290847519,128148.756535731,164050.465752775,1.00101555564555,1.07519210186462,35901.7092170437,0.0741765462190729,484003.516569937,-30051.3308401992
77,0.0274728009464445,133898.313029061,180057.767271164,1.22019873393832,1.41096839796855,46159.4542421029,0.190769664030234,241964.331576258,-31113.2600703744
78,0.0261770523067297,131137.972749901,176295.105436489,1.05542498660693,1.23194586600062,45157.1326865881,0.176520879393692,255817.514855423,-31234.7544079283
79,0.0269886084913895,129180.502888942,164674.042216859,1.01632261385932,1.1390044829085,35493.5393279176,0.122681869049186,289313.650036481,-25817.4976341393
80,0.0282390463138571,121334.966328827,170618.883440614,1.16134858702075,1.43964091653859,49283.9171117871,0.278292329517848,177094.055007457,-27334.7227903849
81,0.0271457691176557,141011.597255821,198024.797510718,1.12563708452672,1.36737835857618,57013.2002548978,0.241741274049459,235843.880938731,-37946.8242293429
82,0.0260238519564025,132650.460990051,169191.504903543,1.21883233209924,1.30671033786546,36541.0439134922,0.0878780057662174,415815.579733371,-29610.0177207049
83,0.0283336810822733,124832.969107493,163175.650657473,1.10913687336228,1.24596614279236,38342.6815499795,0.136829269430074,280222.804007401,-27550.8202407601
84,0.0280553768362987,126300.649414743,172822.587804553,1.13251271808876,1.30473375946289,46521.9383898095,0.172221041374129,270129.236350083,-32938.6926355906
85,0.0273210758609245,133908.158476274,174141.271538938,1.02818612607714,1.18127900980347,40233.1130626641,0.153092883726325,262801.980623648,-28158.5242302851
86,0.0268491714072935,127111.65714224,167061.126648563,1.07330654600462,1.22367395732127,39949.4695063223,0.150367411316651,265679.040135863,-28089.8414083667
87,0.0255806569657183,141883.599081407,182887.466206104,1.27524634800092,1.47586319776209,41003.8671246967,0.200616849761173,204388.949250825,-25181.0155671833
88,0.0256216817517006,139413.291646393,179907.683288101,0.984865025961146,1.13900009415703,40494.3916417088,0.154135068195879,262720.17209119,-28337.6046780316
