"Distribution","SoC_Cost_Mean","Exp_Cost_Mean","SoC_QALY_Mean","Exp_QALY_Mean","Inc_Cost_Mean","Inc_QALY_Mean","ICER_PSA","Inc_NMB_Mean","Inc_Cost_Lower_CrI","Inc_Cost_Upper_CrI","Inc_QALY_Lower_CrI","Inc_QALY_Upper_CrI","Inc_NMB_Lower_CrI","Inc_NMB_Upper_CrI"
"Weibull",64639.6153974808,106380.99340268,0.61339197528318,0.787316618597152,41741.3780051989,0.173924643313972,239996.915962315,-28023.7674623826,26593.2015345456,58756.2052924563,0.0711375185481433,0.291679208383561,-38732.9985343751,-19251.3011797814
"Gamma",64013.187149547,105694.601011259,0.607343835667412,0.782201283394766,41681.4138617118,0.174857447727354,238373.683268575,-27890.2321020076,26382.6692604911,58791.6732445707,0.0706766852327231,0.293772282345985,-38744.9186803182,-19092.0215490765
