"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
20,0.024973117039733,31309.7585507199,67880.5406456103,1.38251951090464,1.64381821136538,36570.7820948904,0.261298700460745,139957.764927287,-28731.8210810681
21,0.025429729400761,30653.0339069039,64404.474920032,1.00915238242913,1.20768416249222,33751.4410131281,0.198531780063092,170005.230408966,-27795.4876112353
22,0.0255849165018774,29972.5979244484,61583.9828335846,1.11174872814985,1.18998938282713,31611.3849091362,0.0782406546772747,404027.612492842,-29264.1652688179
23,0.0238583515884655,31295.2644901084,59890.6579658516,1.17166915788046,1.29931285191649,28595.3934757431,0.127643694036028,224025.116882562,-24766.0826546623
24,0.0277889165192538,30504.6089230352,65703.0533972365,1.16855115645082,1.28974938718199,35198.4444742013,0.121198230731175,290420.448069687,-31562.497552266
25,0.0267226150806262,30518.6426240504,62939.5663310483,1.15522284054688,1.30809639214913,32420.9237069979,0.152873551602244,212076.735100344,-27834.7171589306
26,0.0247946980339498,31848.4776703858,68556.0853331836,1.32926891494333,1.48665481044097,36707.6076627978,0.157385895497637,233233.146761547,-31986.0307978687
27,0.0285298723097293,30110.1201515007,67797.808133788,1.01261330395586,1.2289734448815,37687.6879822873,0.21636014092564,174189.607295736,-31196.8837545181
28,0.0271324182388508,30372.1493585762,58120.6635652024,1.30046380100917,1.44214457493552,27748.5142066262,0.141680773926353,195852.361881154,-23498.0909888356
29,0.0260687244882851,26472.8400828383,65973.6250172275,1.13850382921035,1.34806176111362,39500.7849343892,0.209557931903272,188495.775729559,-33214.0469772911
30,0.0278856820792458,27056.8453087751,55816.249726216,1.17980705971078,1.27669462985194,28759.4044174409,0.0968875701411607,296832.755487002,-25852.7773132061
31,0.0278568478063452,24935.062972276,60371.8852223064,1.010717713861,1.2138581964042,35436.8222500304,0.203140482543201,174444.905350139,-29342.6077737344
32,0.0277618363794068,27770.1662767909,61410.9452637539,1.11645385394731,1.34493216181733,33640.778986963,0.228478307870015,147238.393441279,-26786.4297508625
33,0.0275438524612671,27588.4079778095,60967.290369838,1.16562893994105,1.3698522967217,33378.8823920285,0.204223356780645,163443.021005088,-27252.1816886091
34,0.0273297212785877,28628.2216657154,59301.3960799019,1.09033668068956,1.27333129113538,30673.1744141865,0.18299461044582,167617.91147542,-25183.3361008119
35,0.0264074114968117,31441.7811506525,64935.1910159428,1.18732374576012,1.29214607493325,33493.4098652903,0.104822329173137,319525.525997125,-30348.7399900962
36,0.0260528926073865,28992.5244514596,62270.4916275905,1.01450362030889,1.1242978003659,33277.967176131,0.109794180057003,303094.090769234,-29984.1417744209
37,0.0259444284269591,28056.2693004373,60104.5629905149,1.11010122365156,1.30542496568246,32048.2936900776,0.195323742030895,164077.819505467,-26188.5814291508
38,0.0254810207726572,29929.8906049072,61394.265848417,1.31872571667973,1.43982504006803,31464.3752435098,0.121099323388304,259822.882268463,-27831.3955418607
39,0.0261952990586027,28819.8954991811,58865.5336160775,0.976038935939168,1.09822805550482,30045.6381168964,0.122189119565651,245894.546287757,-26379.9645299269
40,0.0245873854280303,30178.4593652951,60364.0686695443,1.11418186562556,1.24400543691754,30185.6093042493,0.129823571291985,232512.547635584,-26290.9021654897
41,0.028443359821316,28630.187287037,68764.3652463171,1.17092505627698,1.38093259881359,40134.1779592801,0.210007542536609,191108.269134114,-33833.9516831819
42,0.0248188321138909,26578.0670160857,58814.4936103201,1.1926033405044,1.38640785485624,32236.4265942344,0.193804514351835,166334.755937171,-26422.2911636794
