"scenario","age_band","u_F_mean","u_P_mean","SoC_Cost","SoC_QALY","Bev_Cost","Bev_QALY","Inc_Cost","Inc_QALY","ICER","ICER_pct_change","Inc_QALY_pct_change"
"Ramsey (base case)","N/A",0.85,0.65,15659.5099400062,0.612574658455592,50470.0989256047,0.78546366141059,34810.5889855985,0.172889002954998,201346.461548277,0,0
"Pop-norm adjusted (55-64)","55-64",0.829816663050553,0.680427758399119,15659.5099400062,0.605504477867316,50470.0989256047,0.774288920055479,34810.5889855985,0.168784442188163,206242.877212529,2.4,-2.4
"Pop-norm adjusted (65-74)","65-74",0.832606951871658,0.682715721575046,15659.5099400062,0.607599139235484,50470.0989256047,0.776897421204084,34810.5889855985,0.169298281968601,205616.906331363,2.1,-2.1
"Pop-norm adjusted (75+)","75+",0.748057832971626,0.613387675984493,15659.5099400062,0.546079108798228,50470.0989256047,0.698239532737149,34810.5889855985,0.152160423938921,228775.578330222,13.6,-12
