"Country","Scenario","u_PFS","u_PD","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","WTP","NMB","Cost_Effective"
"Ireland","ramsey_basecase",0.85,0.65,19762.6017348148,50575.1514502925,0.60659098545333,0.77765904126847,30812.5497154777,0.17106805581514,180118.664286303,45000,-23114.4872037964,"No"
"Ireland","population_norm_adjusted",0.88302875,0.73506375,19762.6017348148,50575.1514502925,0.640031720287303,0.817810344736734,30812.5497154777,0.177778624449431,173319.766709312,45000,-22812.5116152533,"No"
"Germany","ramsey_basecase",0.85,0.65,64365.0051100733,106043.393762466,0.609657683691775,0.782691402763173,41678.3886523926,0.173033719071398,240868.594144909,78871,-28031.0461955124,"No"
"Germany","population_norm_adjusted",0.84385,0.70245,64365.0051100733,106043.393762466,0.61475469404051,0.786616050633533,41678.3886523926,0.171861356593023,242511.693603637,78871,-28123.5115965443,"No"
"Spain","ramsey_basecase",0.85,0.65,15596.5489217985,50370.8329156432,0.609657683691775,0.782691402763173,34774.2839938447,0.173033719071398,200968.25162439,30000,-29583.2724217028,"No"
"Spain","population_norm_adjusted",0.823758333333333,0.685725,15596.5489217985,50370.8329156432,0.600117677515736,0.767887097047021,34774.2839938447,0.167769419531285,207274.270191774,30000,-29741.2014079062,"No"
