"scenario","age_band","u_F_mean","u_P_mean","SoC_Cost","SoC_QALY","Bev_Cost","Bev_QALY","Inc_Cost","Inc_QALY","ICER","ICER_pct_change","Inc_QALY_pct_change"
"Ramsey (base case)","N/A",0.85,0.65,64714.4608567604,0.612574658455592,106413.196103228,0.78546366141059,41698.7352464673,0.172889002954998,241187.898210746,0,0
"Pop-norm adjusted (55-64)","55-64",0.802156107615535,0.657746833119148,64714.4608567604,0.585209285495563,106413.196103228,0.74821006148523,41698.7352464673,0.163000775989667,255819.243763053,6.1,-5.7
"Pop-norm adjusted (65-74)","65-74",0.821969696969697,0.673993453355155,64714.4608567604,0.599753211483456,106413.196103228,0.766889358634035,41698.7352464673,0.167136147150578,249489.628409943,3.4,-3.3
"Pop-norm adjusted (75+)","75+",0.798606217210868,0.654836016696482,64714.4608567604,0.582577796543106,106413.196103228,0.744841679806455,41698.7352464673,0.162263883263349,256981.001611995,6.5,-6.1
