"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
17,0.0258094885602057,40763.9919194444,71831.8948545506,1.12172920799286,1.35308532861298,31067.9029351062,0.231356120620123,134286.064495861,-20656.8775072006
18,0.0249070158558472,35756.0162928374,57775.8728133121,1.24143402748705,1.3746679270957,22019.8565204747,0.133233899608645,165272.176113998,-16024.3310380857
19,0.0261806985242164,37841.4695978245,70415.2717481945,1.26949233645085,1.47717403478123,32573.80215037,0.207681698330379,156844.837134141,-23228.125725503
20,0.024973117039733,43549.9588274463,76360.0586098057,1.38075689814458,1.64158996796363,32810.0997823595,0.260833069819051,125789.647014932,-21072.6116405022
21,0.025429729400761,41780.8624894273,72072.8845383785,0.992639213832647,1.18663568471266,30292.0220489513,0.193996470880009,156147.284079655,-21562.1808593509
22,0.0255849165018774,40108.2895881194,67867.7195770768,1.09157618970094,1.16837008527347,27759.4299889573,0.076793895572526,361479.643427395,-24303.7046881937
23,0.0238583515884655,41629.657312555,67192.9370958748,1.14408775916724,1.26794629849464,25563.2797833197,0.123858539327398,206390.93535366,-19989.6455135868
24,0.0277889165192538,40029.131217935,70731.1272203995,1.15388832636676,1.27318388117752,30701.9960024645,0.119295554810754,257360.771331077,-25333.6960359805
25,0.0267226150806262,43163.427060074,71144.4363682404,1.1438426608387,1.29477777395032,27981.0093081664,0.150935113111623,185384.359751156,-21188.9292181434
26,0.0247946980339498,42585.6150172007,75369.7545003661,1.32459805006087,1.48124686627855,32784.1394831655,0.156648816217682,209284.310438759,-25734.9427533698
27,0.0285298723097293,41894.1857025403,75959.4738292367,0.996161271452075,1.20745565197466,34065.2881266965,0.211294380522589,161221.931423087,-24557.04100318
28,0.0271324182388508,42315.5863419735,64520.0169342754,1.29398984077913,1.43475025327164,22204.430592302,0.140760412492508,157746.273963809,-15870.2120301391
29,0.0260687244882851,35453.9719893847,70705.8100036021,1.13556286405365,1.34436371132802,35251.8380142173,0.208800847274367,168829.956747714,-25855.7998868708
30,0.0278856820792458,37992.6378560886,62353.9035578676,1.16741857171284,1.26300669315076,24361.265701779,0.0955881214379199,254856.621673442,-20059.8002370726
31,0.0278568478063452,34705.1113492446,66706.2876781375,0.993228709735416,1.19139729808648,32001.1763288929,0.198168588351064,161484.605583411,-23083.589853095
32,0.0277618363794068,37711.1487684611,66474.3109478163,1.10167034395312,1.32575324260463,28763.1621793551,0.22408289865151,128359.470323021,-18679.4317400372
33,0.0275438524612671,37116.7108471269,67186.0077120402,1.15480819492137,1.35635331029272,30069.2968649132,0.201545115371347,149193.875572278,-20999.7666732026
34,0.0273297212785877,38785.5019896721,65518.9084550813,1.08946893936611,1.27228425896325,26733.4064654092,0.182815319597142,146231.762875889,-18506.7170835378
35,0.0264074114968117,43613.961640284,73786.6399692501,1.1677508348475,1.27032992744161,30172.6783289662,0.102579092594108,294140.624233785,-25556.6191622313
36,0.0260528926073865,38817.4742904394,68752.9643369749,0.996078465269357,1.10322751378796,29935.4900465355,0.107149048518605,279381.762697945,-25113.7828631982
37,0.0259444284269591,38740.7466383677,67001.3416570617,1.09949510229844,1.29230707873672,28260.5950186939,0.19281197643828,146570.74493368,-19584.0560789713
