"scenario","age_band","u_F_mean","u_P_mean","SoC_Cost","SoC_QALY","Bev_Cost","Bev_QALY","Inc_Cost","Inc_QALY","ICER","ICER_pct_change","Inc_QALY_pct_change"
"Ramsey (base case)","N/A",0.85,0.65,19859.433580725,0.609497612721206,50705.9642593969,0.780414391426901,30846.5306786719,0.170916778705695,180476.901754551,0,0
"Pop-norm adjusted (55-64)","55-64",0.828894644536053,0.679671727556453,19859.433580725,0.601705693621625,50705.9642593969,0.768306865640585,30846.5306786719,0.166601172018961,185151.942839642,2.6,-2.5
"Pop-norm adjusted (65-74)","65-74",0.850013368983957,0.696988524116684,19859.433580725,0.617092003736448,50705.9642593969,0.787865551196334,30846.5306786719,0.170773547459886,180628.27140086,0.1,-0.1
"Pop-norm adjusted (75+)","75+",0.839534785842925,0.688396362552176,19859.433580725,0.60952312859932,50705.9642593969,0.778257276838499,30846.5306786719,0.168734148239179,182811.42851385,1.3,-1.3
