"Country","WTP_Threshold","Incremental_Cost_Mean","Incremental_Cost_Lower_CrI","Incremental_Cost_Upper_CrI","Incremental_QALY_Mean","Incremental_QALY_Lower_CrI","Incremental_QALY_Upper_CrI","Incremental_NMB_Mean","Incremental_NMB_Lower_CrI","Incremental_NMB_Upper_CrI"
"Ireland",45000,30846.5306786719,22086.0641293334,40747.3691603906,0.170916778705695,0.0663535665361287,0.289416606130388,-23155.2756369157,-30495.8901335704,-16773.4816462208
"Germany",78871,41698.7352464673,26479.9423387431,58434.94886422,0.172889002954998,0.0669259957370945,0.291819666901738,-28062.8066944037,-38684.9327495782,-19284.5804946276
"Spain",30000,34810.5889855985,26141.2532911379,44847.7542105398,0.172889002954998,0.0669259957370945,0.291819666901738,-29623.9188969485,-37663.309407233,-22773.4719227855
